행유형,원본부모Claim번호,자식Claim번호,입력구분,최종검증유형,유형분류결과,원문,기사작성일,대상수치표현,지표,기사값,단위,기준시점,주기,지역,대상집단,차원JSON,계산방식,조건JSON,파싱상태,공식조회진입경로,최종상태,최종사유코드,실패단계,실패원인_쉬운설명,판정,공식계산값,공식좌표JSON,공식출처JSON,공식근거URL,응답해시,공표확인,공식근거종류,공식판정완료,진단번호,원본상세사유,전체자식수,8번직접값자식수,다른유형자식수,공식판정완료자식수,실행결과파일
복수문장부모요약,A00185_6,,복수 수치,8번 직접값 자식만 실행,복수 Claim 분리 후 자식별 결과 참조,"당시 수입차 판매량은 1996년 1만315대, 1997년 8136대, 1998년 2075대로 2년 연속 줄었다.",2025-01-15,,수입액,10315,대,,,,,,,,,,자식별 결과,"{""NO_HARD_GUARD_CANDIDATE"": 1}",,한 문장을 자식 Claim으로 나눈 뒤 8번 직접값 자식만 공식 검증한 결과,,,,,,,,,,,,1,1,0,0,D:\projects\services\archived\clafact-auto\.worktrees\three-type-release\artifacts\direct_value_release_20260826\multi_type8_197_live_final\claim_verification_results.jsonl
복수문장부모요약,A00202_17,,복수 수치,8번 직접값 자식만 실행,복수 Claim 분리 후 자식별 결과 참조,"◇청년층 강타한 고용 한파 건설업과 노인 일자리 사업을 중심으로 고용 한파가 닥치면서 임금 근로자 가운데 일용직(고용 계약 기간 1개월 미만)과 임시직(1개월 이상 1년 미만) 취업자 수가 각각 14만7000명, 1만9000명 감소했다.",2025-01-16,,취업자 수,19000,명,,,,,,,,,,자식별 결과,"{""RECLASSIFY_TO_DIFFERENCE"": 1}",,한 문장을 자식 Claim으로 나눈 뒤 8번 직접값 자식만 공식 검증한 결과,,,,,,,,,,,,2,1,1,0,D:\projects\services\archived\clafact-auto\.worktrees\three-type-release\artifacts\direct_value_release_20260826\multi_type8_197_live_final\claim_verification_results.jsonl
부모겸단일결과,A00475_9,A00475_9,단일 수치,8번 직접값 제외,다른 유형으로 이동: 7번 증감률,한은은 이날 원화 환율 상승이 석유류 가격 등에 영향을 미치며 1월 소비자물가 상승률을 0.1%포인트가량 높였다고 분석했다.,2025-02-06,0.1%p,소비자물가 상승률,0.1,%p,,,,,,DIRECT_VALUE,"{""direction"": ""INCREASE""}",HUMAN_REVIEW,CONTEXT_REQUIRED,HUMAN_REVIEW,RECLASSIFY_TO_GROWTH_RATE,CLAIM_PARSE,직접값이 아니라 두 기간 공식값으로 비율을 계산해야 하는 증감률 주장,,,[],[],,,,,N,,,,,,,D:\projects\services\archived\clafact-auto\.worktrees\three-type-release\artifacts\direct_value_release_20260826\single_133_live_final_v3\claim_verification_results.jsonl
부모겸단일결과,A00489_18,A00489_18,단일 수치,8번 직접값,8번 직접값 유지,이미 1월 무역수지는 18억9000만달러의 적자로 돌아섰다.,2025-02-07,-1.89e+09달러,무역수지,-1890000000.0,달러,2025년 1월,월,,,,DIRECT_VALUE,"{""polarity"": ""DEFICIT""}",AUTO_OK,KOSIS_PIPELINE_ELIGIBLE,HOLD,NO_EVIDENCE_COORDINATE_CANDIDATE,HARD_GUARD,공식표는 찾았지만 기사 조건에 맞는 항목·지역·기간 좌표를 확정하지 못함,UNDETERMINED,,[],[],,,,,N,,,,,,,D:\projects\services\archived\clafact-auto\.worktrees\three-type-release\artifacts\direct_value_release_20260826\single_133_live_final_v3\claim_verification_results.jsonl
복수문장부모요약,A00621_5,,복수 수치,8번 직접값 자식만 실행,복수 Claim 분리 후 자식별 결과 참조,하지만 ‘양질의 일자리’로 꼽히는 제조업 분야 취업자 수는 5만6000명 줄어든 439만6000명으로 집계됐다.,2025-02-17,,취업자 수,56000,명,,,,,,,,,,자식별 결과,"{""MISSING_REQUIRED_SLOTS:time"": 1}",,한 문장을 자식 Claim으로 나눈 뒤 8번 직접값 자식만 공식 검증한 결과,,,,,,,,,,,,1,1,0,0,D:\projects\services\archived\clafact-auto\.worktrees\three-type-release\artifacts\direct_value_release_20260826\multi_type8_197_live_final\claim_verification_results.jsonl
복수문장부모요약,A00922_9,,복수 수치,8번 직접값 자식만 실행,복수 Claim 분리 후 자식별 결과 참조,청년 취업자는 355만7000명으로 1년 새 23만5000명 줄었다.,2025-03-12,,취업자 수,3557000,명,,,,,,,,,,자식별 결과,"{""MISSING_REQUIRED_SLOTS:time"": 1}",,한 문장을 자식 Claim으로 나눈 뒤 8번 직접값 자식만 공식 검증한 결과,,,,,,,,,,,,1,1,0,0,D:\projects\services\archived\clafact-auto\.worktrees\three-type-release\artifacts\direct_value_release_20260826\multi_type8_197_live_final\claim_verification_results.jsonl
복수문장부모요약,A01285_13,,복수 수치,8번 직접값 자식만 실행,복수 Claim 분리 후 자식별 결과 참조,"건설업 부진 장기화로 40대와 50대 취업자 수도 각각 4만9000명, 2만6000명 줄었다.",2025-04-09,,취업자 수,26000,명,,,,,,,,,,자식별 결과,"{""RECLASSIFY_TO_DIFFERENCE"": 2}",,한 문장을 자식 Claim으로 나눈 뒤 8번 직접값 자식만 공식 검증한 결과,,,,,,,,,,,,2,2,0,0,D:\projects\services\archived\clafact-auto\.worktrees\three-type-release\artifacts\direct_value_release_20260826\multi_type8_197_live_final\claim_verification_results.jsonl
입력차단부모,A00006_10,,비통계 숫자 역할 차단,8번 직접값 제외,공식조회 전 차단,"특히 지난 4분기에는 범용 메모리 가격하락에도 불구하고, DDR5·HBM 등 고부가 품목을 중심으로 수출이 확대되면서 올해 전체적으로 분기별 수출이 우상향했다.",2025-01-01,,수출액,,,2025-Q4,Q,,,,,,HUMAN_REVIEW,,공식조회 전 차단,TARGET_NOT_FOUND_IN_SOURCE,Claim 수치 역할 확인,연령·기간·제품명 등 통계값이 아닌 숫자를 기사값으로 사용하지 않도록 차단,,,,,,,,,,,,,,,,D:\projects\services\archived\clafact-auto\.worktrees\direct-value-execution\deliverables\CLAFACT_AUTO_8번_1단계_숫자역할오인차단_20260825.csv
복수문장직접값자식결과,A00007_3,claim_f8916174d4816698,복수 수치에서 분리,8번 직접값,8번 직접값 유지,보잉 737 맥스 여객기가 자카르타에서 추락한 사고로 189명이 사망한 사건이 발생한 2018년(전체 사망자 526명) 이후 가장 많다.,2025-01-01,189명,사망자 수,189.0,명,2018,Y,,,,DIRECT_VALUE,,HOLD,CONTEXT_REQUIRED,HUMAN_REVIEW,GROUPING_AMBIGUOUS,CLAIM_PARSE,한 문장의 여러 수치를 독립 Claim으로 안전하게 나누지 못함,,,[],[],,,,,N,,,,,,,D:\projects\services\archived\clafact-auto\.worktrees\three-type-release\artifacts\direct_value_release_20260826\multi_type8_197_live_final\claim_verification_results.jsonl
복수문장직접값자식결과,A00186_9,claim_fa38cac3c10b0e85,복수 수치에서 분리,8번 직접값,8번 직접값 유지,"한편, 지난해 현대차·기아 전체 수출 대수는 218만698대, 수출액은 533억6000만달러(약 78조원)로, 2년 연속 수출 200만대, 수출액 500억달러를 이어갔다.",2025-01-15,2.1807e+06대,수출 대수,2180698.0,대,지난해,연간,,현대차·기아 전체,"{""상품"": ""자동차""}",DIRECT_VALUE,"{""direction"": ""INCREASE""}",HOLD,STRUCTURAL_HOLD,HUMAN_REVIEW,CLAIM_PARSE_UNCERTAIN,CLAIM_PARSE,"문장에 수출 대수와 수출액이라는 서로 독립적으로 검증 가능한 두 수치가 함께 있어 하나의 주장으로 안전하게 통합하기 어렵고, ‘2년 연속’은 증가율이 아닌 지속·기준 충족 표현임",,,[],[],,,,,N,,"문장에 수출 대수와 수출액이라는 서로 독립적으로 검증 가능한 두 수치가 함께 있어 하나의 주장으로 안전하게 통합하기 어렵고, ‘2년 연속’은 증가율이 아닌 지속·기준 충족 표현임",,,,,D:\projects\services\archived\clafact-auto\.worktrees\three-type-release\artifacts\direct_value_release_20260826\multi_type8_197_live_final\claim_verification_results.jsonl
복수문장직접값자식결과,A00186_9,claim_3b4c57d9172bc1c9,복수 수치에서 분리,8번 직접값,8번 직접값 유지,"한편, 지난해 현대차·기아 전체 수출 대수는 218만698대, 수출액은 533억6000만달러(약 78조원)로, 2년 연속 수출 200만대, 수출액 500억달러를 이어갔다.",2025-01-15,53.36십억 달러,수출액,53.36,십억 달러,2024,연간,,현대차·기아 전체,"{""item"": ""자동차 수출""}",DIRECT_VALUE,"{""duration_years"": ""2"", ""operator"": ""GTE"", ""threshold_unit"": ""십억 달러"", ""threshold_value"": ""50""}",HOLD,CONTEXT_REQUIRED,HUMAN_REVIEW,TARGET_VALUE_NOT_IN_SOURCE_SENTENCE,CLAIM_PARSE,TARGET_VALUE_NOT_IN_SOURCE_SENTENCE,,,[],[],,,,,N,,,,,,,D:\projects\services\archived\clafact-auto\.worktrees\three-type-release\artifacts\direct_value_release_20260826\multi_type8_197_live_final\claim_verification_results.jsonl
복수문장직접값자식결과,A00195_11,claim_cbad041451547ab2,복수 수치에서 분리,8번 직접값,8번 직접값 유지,"연간 경제성장률이 3~4%에 달하던 시절은 아련하고, 지금은 1% 성장률에 머물러 있다.",2025-01-15,1%,경제성장률,1.0,%,현재,연간,,,,DIRECT_VALUE,,AUTO_OK,KOSIS_PIPELINE_ELIGIBLE,HOLD,FETCH_FAILED,OFFICIAL_VALUE_FETCH,확정한 좌표의 공식값 조회가 실패함,UNDETERMINED,,"[{""canonical_key"": ""ORG=101|TBL=DT_1YL20571|ITM=T10|OBJ=SGG|MEMBER=전국|PRD_SE=년|PRD_DE=현재"", ""dimension_codes"": {""SGG"": ""00""}, ""dimension_members"": {""SGG"": ""전국""}, ""itm_id"": ""T10"", ""member_code"": ""전국"", ""obj_id"": ""SGG"", ""org_id"": ""101"", ""prd_de"": ""현재"", ""prd_se"": ""년"", ""status"": ""CONFIRMED"", ""tbl_id"": ""DT_1YL20571"", ""unit"": ""%""}]","[{""content_hash"": """", ""evidence_key"": ""ORG=101|TBL=DT_1YL20571|ITM=T10|OBJ=SGG|MEMBER=전국|PRD_SE=년|PRD_DE=현재"", ""publication"": null, ""retrieved_at"": ""2026-08-26T09:01:09.232221Z"", ""source"": ""NONE"", ""source_url"": ""https://kosis.kr/openapi/Param/statisticsParameterData.do?method=getList&orgId=101&tblId=DT_1YL20571&itmId=T10&prdSe=Y&startPrdDe=%ED%98%84%EC%9E%AC&endPrdDe=%ED%98%84%EC%9E%AC&objL1=00"", ""value_last_changed_at"": null}]",https://kosis.kr/openapi/Param/statisticsParameterData.do?method=getList&orgId=101&tblId=DT_1YL20571&itmId=T10&prdSe=Y&startPrdDe=%ED%98%84%EC%9E%AC&endPrdDe=%ED%98%84%EC%9E%AC&objL1=00,,,,N,,,,,,,D:\projects\services\archived\clafact-auto\.worktrees\three-type-release\artifacts\direct_value_release_20260826\multi_type8_197_live_final\claim_verification_results.jsonl
복수문장직접값자식결과,A00202_26,claim_0a51bae8271add36,복수 수치에서 분리,8번 직접값,8번 직접값 유지,"증가폭이 2023년(32만7000명)의 절반 아래로 줄어, 코로나 거리 두기 여파로 취업자 수가 22만명 가까이 감소했던 2020년 이후 최악의 고용 성적표를 기록했다.",2025-01-16,327000명,취업자 수,327000.0,명,2023,Y,,,,DIRECT_VALUE,"{""direction"": ""INCREASE""}",HUMAN_REVIEW,CONTEXT_REQUIRED,HUMAN_REVIEW,TARGET_NOT_FOUND_IN_SOURCE,CLAIM_PARSE,구조화된 대상 수치가 뉴스 원문에서 확인되지 않음,,,[],[],,,,,N,,,,,,,D:\projects\services\archived\clafact-auto\.worktrees\three-type-release\artifacts\direct_value_release_20260826\multi_type8_197_live_final\claim_verification_results.jsonl
복수문장직접값자식결과,A00231_10,claim_4292bd4861a1b423,복수 수치에서 분리,8번 직접값,8번 직접값 유지,"지난 2022년 폴란드에 48대, 2023년 말레이시아에 18대를 수출하는 등 누적 수출액만 78억달러(약 11조3700억원)에 달한다.",2025-01-18,7.8e+09미국 달러,누적 수출액,7800000000.0,미국 달러,2025-01-18,누적,,,"{""trade_partner_examples"": ""폴란드, 말레이시아""}",DIRECT_VALUE,,HOLD,CONTEXT_REQUIRED,HUMAN_REVIEW,TARGET_VALUE_NOT_IN_SOURCE_SENTENCE,CLAIM_PARSE,TARGET_VALUE_NOT_IN_SOURCE_SENTENCE,,,[],[],,,,,N,,,,,,,D:\projects\services\archived\clafact-auto\.worktrees\three-type-release\artifacts\direct_value_release_20260826\multi_type8_197_live_final\claim_verification_results.jsonl
복수문장직접값자식결과,A00298_3,claim_eecfa40878a00f16,복수 수치에서 분리,8번 직접값,8번 직접값 유지,작년 연간 경제성장률은 2%로 잠재성장률(2%)을 간신히 지켰다.,2025-01-23,2%,경제성장률,2.0,%,2024,Y,,,,DIRECT_VALUE,,HUMAN_REVIEW,CONTEXT_REQUIRED,HUMAN_REVIEW,TARGET_AMBIGUOUS_IN_SOURCE,CLAIM_PARSE,같은 대상 수치가 원문에 여러 번 있어 자동 연결할 수 없음,,,[],[],,,,,N,,,,,,,D:\projects\services\archived\clafact-auto\.worktrees\three-type-release\artifacts\direct_value_release_20260826\multi_type8_197_live_final\claim_verification_results.jsonl
복수문장직접값자식결과,A00308_6,claim_e95466b1942a27e4,복수 수치에서 분리,8번 직접값,8번 직접값 유지,그나마 수출이 잘됐던 작년 1분기(1.3%) 덕에 2% 턱걸이를 했다.,2025-01-24,2%,,2.0,%,,,,,,DIRECT_VALUE,,HOLD,STRUCTURAL_HOLD,HUMAN_REVIEW,CLAIM_PARSE_UNCERTAIN,CLAIM_PARSE,"중심 수치 2%의 지표와 대상 기간이 문장에 명시되지 않았고, 괄호의 1.3%는 비교 기준으로 보이지만 어떤 지표의 값인지 불명확함",,,[],[],,,,,N,,"중심 수치 2%의 지표와 대상 기간이 문장에 명시되지 않았고, 괄호의 1.3%는 비교 기준으로 보이지만 어떤 지표의 값인지 불명확함",,,,,D:\projects\services\archived\clafact-auto\.worktrees\three-type-release\artifacts\direct_value_release_20260826\multi_type8_197_live_final\claim_verification_results.jsonl
복수문장직접값자식결과,A00354_13,claim_de464853d689a99b,복수 수치에서 분리,8번 직접값,8번 직접값 유지,"50년 후 먼 미래가 아니더라도, 불과 25년 후인 2050년에 생산연령인구 1.3명이 고령 인구 1명을 부양해야 한다.",2025-01-28,1.3명,생산연령인구의 고령 인구 부양 규모,1.3,명,2050,,대한민국,생산연령인구,"{""부양 대상"": ""고령 인구 1명""}",DIRECT_VALUE,,AUTO_OK,KOSIS_PIPELINE_ELIGIBLE,HOLD,NO_HARD_GUARD_CANDIDATE,HARD_GUARD,기간·단위·지역 등 필수 조건을 모두 만족하는 공식표 후보가 없음,UNDETERMINED,,[],[],,,,,N,,,,,,,D:\projects\services\archived\clafact-auto\.worktrees\three-type-release\artifacts\direct_value_release_20260826\multi_type8_197_live_final\claim_verification_results.jsonl
복수문장직접값자식결과,A00368_19,claim_75abc0998b9bf098,복수 수치에서 분리,8번 직접값,8번 직접값 유지,"◇2년 연속 취업자 증가폭 10만명대 그칠 듯 정부도 대내·외 불확실성을 고려해, 올해 경제정책방향을 발표하면서 올해 취업자 수 증가폭을 12만명으로 내다봤다.",2025-01-29,120000명,취업자 수 증가폭,120000.0,명,2025년,년,대한민국,취업자,,DIRECT_VALUE,,AUTO_OK,KOSIS_PIPELINE_ELIGIBLE,HOLD,AS_OF_UNAVAILABLE,OFFICIAL_VALUE_FETCH,기사 작성일 기준 공표된 공식값인지 확인하지 못함,UNDETERMINED,,"[{""canonical_key"": ""ORG=101|TBL=DT_1DA7001S|ITM=T30|OBJ=B|MEMBER=계|PRD_SE=년|PRD_DE=2025"", ""dimension_codes"": {""B"": ""0""}, ""dimension_members"": {""B"": ""계""}, ""itm_id"": ""T30"", ""member_code"": ""계"", ""obj_id"": ""B"", ""org_id"": ""101"", ""prd_de"": ""2025"", ""prd_se"": ""년"", ""status"": ""CONFIRMED"", ""tbl_id"": ""DT_1DA7001S"", ""unit"": ""천명""}]","[{""content_hash"": ""567fc949b666ed562319e0547a45efd088f6ae743c25704f4361c02e722ebf4a"", ""evidence_key"": ""ORG=101|TBL=DT_1DA7001S|ITM=T30|OBJ=B|MEMBER=계|PRD_SE=년|PRD_DE=2025"", ""publication"": {""content_hash"": ""3b273ec65ed9819b042c57ba8bea28dba50a38128c1a48150cb2e7afe43505c1"", ""coverage_end_period"": null, ""coverage_start_period"": null, ""evidence_scope"": ""PERIOD"", ""pub_date_text"": ""조사기준 월 익월"", ""pub_period"": ""월"", ""publication_method_url"": ""https://mods.go.kr/board.es?mid=a10301010000&bid=210&list_no=445948&act=view&mainXml=Y"", ""published_at"": ""2026-07-15"", ""reference_period"": ""2025"", ""retrieved_at"": ""2026-08-26T09:01:30.476098Z"", ""source_url"": ""https://mods.go.kr/board.es?mid=a10301010000&bid=210&list_no=445948&act=view&mainXml=Y"", ""status"": ""VERIFIED""}, ""retrieved_at"": ""2026-08-26T09:01:15.750658Z"", ""source"": ""API"", ""source_url"": ""https://kosis.kr/openapi/Param/statisticsParameterData.do?method=getList&orgId=101&tblId=DT_1DA7001S&itmId=T30&prdSe=Y&startPrdDe=2025&endPrdDe=2025&objL1=0"", ""value_last_changed_at"": ""2025-12-31""}]",https://kosis.kr/openapi/Param/statisticsParameterData.do?method=getList&orgId=101&tblId=DT_1DA7001S&itmId=T30&prdSe=Y&startPrdDe=2025&endPrdDe=2025&objL1=0,567fc949b666ed562319e0547a45efd088f6ae743c25704f4361c02e722ebf4a,VERIFIED,,N,,,,,,,D:\projects\services\archived\clafact-auto\.worktrees\three-type-release\artifacts\direct_value_release_20260826\multi_type8_197_live_final\claim_verification_results.jsonl
복수문장직접값자식결과,A00399_21,claim_d5f35a2e89a3e911,복수 수치에서 분리,8번 직접값 제외,다른 유형으로 이동: 순위,"2017년 트럼프 1기가 시작했을 때 물가(2.1%)보다 훨씬 높고, 트럼프 1기 때 가장 높았던 물가(2018년 6~7월 2.9%)와 같은 수준이다.",2025-01-31,2.1%,물가상승률,2.1,%,2017,Y,,,,DIRECT_VALUE,,HUMAN_REVIEW,CONTEXT_REQUIRED,HUMAN_REVIEW,RECLASSIFY_TO_RANK,CLAIM_PARSE,직접값이 아니라 전체 지역·대상을 비교해야 하는 순위 주장,,,[],[],,,,,N,,,,,,,D:\projects\services\archived\clafact-auto\.worktrees\three-type-release\artifacts\direct_value_release_20260826\multi_type8_197_live_final\claim_verification_results.jsonl
복수문장직접값자식결과,A00489_11,claim_1aa98594f46770a7,복수 수치에서 분리,8번 직접값,8번 직접값 유지,"작년 12월 수출은 633억달러로 전달보다 11.1%, 전년 같은 달보다 6.6% 뛰었다.",2025-02-07,633억달러,수출,633.0,억달러,작년 12월,월간,,,,DIRECT_VALUE,"{""direction"": ""INCREASE""}",HOLD,STRUCTURAL_HOLD,HUMAN_REVIEW,CLAIM_PARSE_UNCERTAIN,CLAIM_PARSE,중심 수치에 전월 대비와 전년 동월 대비라는 서로 독립적으로 검증 가능한 증감률이 함께 포함되어 있어 단일 주장으로 안전하게 확정할 수 없음,,,[],[],,,,,N,,중심 수치에 전월 대비와 전년 동월 대비라는 서로 독립적으로 검증 가능한 증감률이 함께 포함되어 있어 단일 주장으로 안전하게 확정할 수 없음,,,,,D:\projects\services\archived\clafact-auto\.worktrees\three-type-release\artifacts\direct_value_release_20260826\multi_type8_197_live_final\claim_verification_results.jsonl
복수문장직접값자식결과,A00630_16,claim_696fd653e7921dfb,복수 수치에서 분리,8번 직접값,8번 직접값 유지,정부는 관세 대응 수출 바우처를 포함해 올해 연간 수출 바우처 예산(2400억원)의 90%를 상반기에 집중 투입한다는 방침이다.,2025-02-18,2400억원,예산,2400.0,억원,2025,연간,,,"{""item"": ""수출 바우처"", ""program_scope"": ""관세 대응 수출 바우처 포함""}",DIRECT_VALUE,"{""policy_status"": ""방침""}",AUTO_OK,KOSIS_PIPELINE_ELIGIBLE,HOLD,NO_HARD_GUARD_CANDIDATE,HARD_GUARD,기간·단위·지역 등 필수 조건을 모두 만족하는 공식표 후보가 없음,UNDETERMINED,,[],[],,,,,N,,,,,,,D:\projects\services\archived\clafact-auto\.worktrees\three-type-release\artifacts\direct_value_release_20260826\multi_type8_197_live_final\claim_verification_results.jsonl
복수문장직접값자식결과,A00735_6,claim_5095c98de43d1375,복수 수치에서 분리,8번 직접값,8번 직접값 유지,"하지만 작년 8월 2.1%로 낮췄고, 수출 둔화세가 본격화한 작년 3분기(7~9월) 이후인 작년 11월에는 이를 1.9%로 내려잡았다.",2025-02-26,1.9%,,1.9,%,작년 11월,,,,,DIRECT_VALUE,"{""direction"": ""DECREASE""}",HOLD,STRUCTURAL_HOLD,HUMAN_REVIEW,CLAIM_PARSE_UNCERTAIN,CLAIM_PARSE,"목표 수치 1.9%와 기준 수치 2.1%는 명확하지만, 대명사 '이를'이 가리키는 구체적 지표가 문장에 명시되지 않음",,,[],[],,,,,N,,"목표 수치 1.9%와 기준 수치 2.1%는 명확하지만, 대명사 '이를'이 가리키는 구체적 지표가 문장에 명시되지 않음",,,,,D:\projects\services\archived\clafact-auto\.worktrees\three-type-release\artifacts\direct_value_release_20260826\multi_type8_197_live_final\claim_verification_results.jsonl
복수문장직접값자식결과,A00749_14,claim_0d6482ba1fa9a6ab,복수 수치에서 분리,8번 직접값,8번 직접값 유지,"1990년 64만9000명대였던 출생아 수가 1991년 70만9000명대로 뛰어오른 데 이어, 올해 33세인 1992년생은 출생아 수가 73만명대로 2차 에코 붐 세대 중에서도 가장 많았기 때문이다.",2025-02-27,730000명,출생아 수,730000.0,명,1992년,연간,,1992년생,"{""세대"": ""2차 에코 붐 세대""}",DIRECT_VALUE,,AUTO_OK,KOSIS_PIPELINE_ELIGIBLE,HOLD,NO_HARD_GUARD_CANDIDATE,HARD_GUARD,기간·단위·지역 등 필수 조건을 모두 만족하는 공식표 후보가 없음,UNDETERMINED,,[],[],,,,,N,,,,,,,D:\projects\services\archived\clafact-auto\.worktrees\three-type-release\artifacts\direct_value_release_20260826\multi_type8_197_live_final\claim_verification_results.jsonl
복수문장직접값자식결과,A00749_24,claim_a4c35c85011066cd,복수 수치에서 분리,8번 직접값,8번 직접값 유지,"출생아 수는 1995년생(69만1226명)부터 60만명대로 내려앉고, 2001년생은 50만명대(55만9934명), 2002년생(49만6911명)부터는 40만명대로 줄어든다.",2025-02-27,691226명,출생아 수,691226.0,명,1995년,,,,"{""출생연도"": ""1995년생""}",DIRECT_VALUE,,AUTO_OK,KOSIS_PIPELINE_ELIGIBLE,HOLD,NO_HARD_GUARD_CANDIDATE,HARD_GUARD,기간·단위·지역 등 필수 조건을 모두 만족하는 공식표 후보가 없음,UNDETERMINED,,[],[],,,,,N,,,,,,,D:\projects\services\archived\clafact-auto\.worktrees\three-type-release\artifacts\direct_value_release_20260826\multi_type8_197_live_final\claim_verification_results.jsonl
복수문장직접값자식결과,A00749_24,claim_4ec273e3eb5dc413,복수 수치에서 분리,8번 직접값 제외,다른 유형으로 이동: 6번 증감량,"출생아 수는 1995년생(69만1226명)부터 60만명대로 내려앉고, 2001년생은 50만명대(55만9934명), 2002년생(49만6911명)부터는 40만명대로 줄어든다.",2025-02-27,559934명,출생아 수,559934.0,명,2001년,연간,대한민국,출생아,"{""출생연도"": ""2001년""}",DIRECT_VALUE,,HUMAN_REVIEW,CONTEXT_REQUIRED,HUMAN_REVIEW,RECLASSIFY_TO_DIFFERENCE,CLAIM_PARSE,직접값이 아니라 두 기간 공식값의 차이를 계산해야 하는 증감량 주장,,,[],[],,,,,N,,,,,,,D:\projects\services\archived\clafact-auto\.worktrees\three-type-release\artifacts\direct_value_release_20260826\multi_type8_197_live_final\claim_verification_results.jsonl
복수문장직접값자식결과,A00749_24,claim_0549fe7976730903,복수 수치에서 분리,8번 직접값 제외,다른 유형으로 이동: 6번 증감량,"출생아 수는 1995년생(69만1226명)부터 60만명대로 내려앉고, 2001년생은 50만명대(55만9934명), 2002년생(49만6911명)부터는 40만명대로 줄어든다.",2025-02-27,496911명,출생아 수,496911.0,명,2002년,연간,대한민국,,"{""출생 코호트"": ""2002년생""}",DIRECT_VALUE,,HUMAN_REVIEW,CONTEXT_REQUIRED,HUMAN_REVIEW,RECLASSIFY_TO_DIFFERENCE,CLAIM_PARSE,직접값이 아니라 두 기간 공식값의 차이를 계산해야 하는 증감량 주장,,,[],[],,,,,N,,,,,,,D:\projects\services\archived\clafact-auto\.worktrees\three-type-release\artifacts\direct_value_release_20260826\multi_type8_197_live_final\claim_verification_results.jsonl
복수문장직접값자식결과,A00751_27,claim_ab7eebfc50678e82,복수 수치에서 분리,8번 직접값,8번 직접값 유지,"실업률은 4% 수준이고, 작년 12월에는 일자리 25만개가 새로 만들어졌다.",2025-02-27,4%,실업률,4.0,%,,,,,,DIRECT_VALUE,,HOLD,STRUCTURAL_HOLD,HUMAN_REVIEW,CLAIM_PARSE_UNCERTAIN,CLAIM_PARSE,실업률 4%라는 단일 수치는 명확하지만 대상 인구와 기준 시점이 본문에 직접 제시되지 않아 충분한 슬롯을 확정할 수 없음,,,[],[],,,,,N,,실업률 4%라는 단일 수치는 명확하지만 대상 인구와 기준 시점이 본문에 직접 제시되지 않아 충분한 슬롯을 확정할 수 없음,,,,,D:\projects\services\archived\clafact-auto\.worktrees\three-type-release\artifacts\direct_value_release_20260826\multi_type8_197_live_final\claim_verification_results.jsonl
복수문장직접값자식결과,A00751_27,claim_e2ed9bf16de852a0,복수 수치에서 분리,8번 직접값,8번 직접값 유지,"실업률은 4% 수준이고, 작년 12월에는 일자리 25만개가 새로 만들어졌다.",2025-02-27,250000개,일자리,250000.0,개,2024년 12월,월,,,,DIRECT_VALUE,,AUTO_OK,KOSIS_PIPELINE_ELIGIBLE,HOLD,NO_HARD_GUARD_CANDIDATE,HARD_GUARD,기간·단위·지역 등 필수 조건을 모두 만족하는 공식표 후보가 없음,UNDETERMINED,,[],[],,,,,N,,,,,,,D:\projects\services\archived\clafact-auto\.worktrees\three-type-release\artifacts\direct_value_release_20260826\multi_type8_197_live_final\claim_verification_results.jsonl
복수문장직접값자식결과,A00922_25,claim_0891b38fe687ca41,복수 수치에서 분리,8번 직접값 제외,다른 유형으로 이동: 6번 증감량,도·소매업 취업자는 6만5000명 감소하며 지난해 3월(-1만4000명)부터 1년째 감소세가 이어지고 있다.,2025-03-12,65000명,취업자,65000.0,명,2025년 3월,월,,취업자,"{""industry"": ""도·소매업""}",DIRECT_VALUE,"{""direction"": ""DECREASE""}",HUMAN_REVIEW,CONTEXT_REQUIRED,HUMAN_REVIEW,RECLASSIFY_TO_DIFFERENCE,CLAIM_PARSE,직접값이 아니라 두 기간 공식값의 차이를 계산해야 하는 증감량 주장,,,[],[],,,,,N,,,,,,,D:\projects\services\archived\clafact-auto\.worktrees\three-type-release\artifacts\direct_value_release_20260826\multi_type8_197_live_final\claim_verification_results.jsonl
복수문장직접값자식결과,A00953_14,claim_990e2230f27dbd12,복수 수치에서 분리,8번 직접값 제외,다른 유형으로 이동: 6번 증감량,실제 본지가 소비자물가정보서비스에서 원재료와 제품값 상승률을 비교한 가공식품 21개 중에서는 지난해 원재료 가격이 떨어졌는데도 제품값이 오른 품목이 10개나 됐다.,2025-03-15,21개,소비자물가 상승률,21.0,개,2024,Y,,,,DIRECT_VALUE,"{""direction"": ""DECREASE""}",HUMAN_REVIEW,CONTEXT_REQUIRED,HUMAN_REVIEW,RECLASSIFY_TO_DIFFERENCE,CLAIM_PARSE,직접값이 아니라 두 기간 공식값의 차이를 계산해야 하는 증감량 주장,,,[],[],,,,,N,,,,,,,D:\projects\services\archived\clafact-auto\.worktrees\three-type-release\artifacts\direct_value_release_20260826\multi_type8_197_live_final\claim_verification_results.jsonl
